date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:21	18524/18524	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:21:47%20GMT	https://system76.com/	E:/websites/ecom/system76.com/index.html	(from )
22:21:21	89/89	---M--	200	added ('OK')	text/plain	etag:%22564e446c-59%22	https://system76.com/robots.txt		(from )
22:21:21	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:21:47%20GMT	https://system76.com/images/touch-icon-iphone-retina.png	E:/websites/ecom/system76.com/images/touch-icon-iphone-retina.png	(from https://system76.com/)
22:21:22	2487/2487	---M--	200	added ('OK')	image/png	etag:da96353233023db3640ea2a7c9dcfac1	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0touch-icon-iphone-retina.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0touch-icon-iphone-retina.png	(from https://system76.com/)
22:21:22	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:21:48%20GMT	https://system76.com/images/touch-icon-ipad-retina.png	E:/websites/ecom/system76.com/images/touch-icon-ipad-retina.png	(from https://system76.com/)
22:21:22	2701/2701	---M--	200	added ('OK')	image/png	etag:c76c36b4914dff168dd3a0338516637f	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0touch-icon-ipad-retina.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0touch-icon-ipad-retina.png	(from https://system76.com/)
22:21:22	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:21:48%20GMT	https://system76.com/images/icon-196.png	E:/websites/ecom/system76.com/images/icon-196.png	(from https://system76.com/)
22:21:23	2559/2559	---M--	200	added ('OK')	image/png	etag:7288402454a175a5c2410b290529fa99	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0icon-196.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0icon-196.png	(from https://system76.com/)
22:21:26	3048/3048	---M-Z	200	added ('OK')	application/x-javascript	etag:%228543a4adde8cc4a60288a33929e98bf8%22	http://connect.facebook.net/en_US/fbds.js	E:/websites/ecom/connect.facebook.net/en_US/fbds.js	(from https://system76.com/)
22:21:27	856/856	---M--	200	added ('OK')	application/javascript	etag:%2228ef4c762f1a50be1072033111095d23%22	http://platform.twitter.com/oct.js	E:/websites/ecom/platform.twitter.com/oct.js	(from https://system76.com/)
22:21:28	173499/173499	---M-Z	200	added ('OK')	application/x-javascript	etag:%22da38c002c37e0fe1acbcb6446bec625e%22	http://connect.facebook.net/en_US/sdk.js	E:/websites/ecom/connect.facebook.net/en_US/sdk.js	(from https://system76.com/)
22:21:35	26285/26285	---MC-	200	added ('OK')	text/javascript	date:Thu,%2005%20Nov%202015%2022:24:16%20GMT	http://www.google-analytics.com/analytics.js	E:/websites/ecom/www.google-analytics.com/analytics.js	(from https://system76.com/)
22:21:35	431206/431206	---M--	200	added ('OK')	text/css	etag:%22564e4cc8-69466%22	https://system76.com/stylesheets/app.min.css	E:/websites/ecom/system76.com/stylesheets/app.min.css	(from https://system76.com/)
